



sriov_1024_pinned_4_ovs_fwd_nat_500,9.72,9.68,45.01,21.77,23.06,1269504
sriov_1024_pinned_4_ovs_fwd_nat_1000,18.50,18.37,78.77,42.12,36.48,4494703
sriov_1024_pinned_4_ovs_fwd_nat_offload_500,10.28,10.28,1.45,0.58,0.67,0
sriov_1024_pinned_4_ovs_fwd_nat_offload_1000,20.60,20.57,1.85,0.95,0.69,140638
sriov_1024_pinned_4_ovs_fwd_ct_500,10.34,4.90,47.15,26.38,20.58,192505328
sriov_1024_pinned_4_ovs_fwd_ct_1000,17.85,8.48,78.69,44.10,34.45,331439950
sriov_1024_pinned_8_linux_fwd_nat_500,9.17,9.17,38.65,29.24,9.20,863
sriov_1024_pinned_8_linux_fwd_nat_1000,18.13,18.13,74.19,55.90,18.09,5978
sriov_1024_pinned_8_ovs_fwd_nat_500,9.17,9.17,37.79,19.92,17.68,128
sriov_1024_pinned_8_ovs_fwd_nat_1000,18.84,18.84,75.47,40.01,35.29,5158
sriov_1024_pinned_8_ovs_fwd_nat_offload_500,10.50,10.49,1.51,0.62,0.66,0
sriov_1024_pinned_8_ovs_fwd_nat_offload_1000,20.89,20.84,1.91,1.01,0.68,0
sriov_1024_pinned_8_ovs_fwd_ct_500,9.44,8.12,41.01,40.24,0.56,46477886
sriov_1024_pinned_8_ovs_fwd_ct_1000,19.04,16.50,85.55,80.28,5.09,89987904
sriov_4096_pinned_4_linux_fwd_nat_500,9.29,7.16,41.70,23.44,18.08,75171375
sriov_4096_pinned_4_linux_fwd_nat_1000,18.30,13.79,84.64,46.85,37.60,159602198
sriov_4096_pinned_4_ovs_fwd_nat_500,9.33,8.99,44.54,21.06,23.30,11866220
sriov_4096_pinned_4_ovs_fwd_nat_1000,19.27,18.66,88.26,42.49,45.62,21602012
sriov_4096_pinned_4_ovs_fwd_nat_offload_500,10.55,10.54,1.54,0.62,0.69,3029
sriov_4096_pinned_4_ovs_fwd_nat_offload_1000,20.58,20.55,2.06,1.02,0.81,113701
sriov_4096_pinned_4_ovs_fwd_ct_500,9.03,4.24,41.00,23.56,17.23,169502495
sriov_4096_pinned_4_ovs_fwd_ct_1000,19.04,9.51,92.84,49.47,43.23,337071591
sriov_4096_pinned_8_linux_fwd_nat_500,9.30,9.30,39.42,29.15,10.06,0
sriov_4096_pinned_8_linux_fwd_nat_1000,18.89,18.89,77.97,60.66,17.12,0
sriov_4096_pinned_8_ovs_fwd_nat_500,9.09,9.09,38.12,20.08,17.84,0
sriov_4096_pinned_8_ovs_fwd_nat_1000,18.65,18.65,75.76,40.57,35.02,0
sriov_4096_pinned_8_ovs_fwd_nat_offload_500,10.39,10.37,1.52,0.63,0.67,0
sriov_4096_pinned_8_ovs_fwd_nat_offload_1000,20.55,20.49,1.86,0.99,0.65,0
sriov_4096_pinned_8_ovs_fwd_ct_500,10.04,9.00,45.30,44.53,0.58,36773814
sriov_4096_pinned_8_ovs_fwd_ct_1000,18.68,16.16,80.79,79.92,0.70,88819996
sriov_8192_pinned_4_linux_fwd_nat_500,9.68,7.16,45.46,25.25,20.01,89123495
sriov_8192_pinned_4_linux_fwd_nat_1000,17.64,13.44,78.85,44.77,33.90,148638577
sriov_8192_pinned_4_ovs_fwd_nat_500,9.39,9.39,41.39,21.84,19.35,22158
sriov_8192_pinned_4_ovs_fwd_nat_1000,18.39,18.34,77.56,42.36,35.02,1470515
sriov_8192_pinned_4_ovs_fwd_nat_offload_500,10.19,10.17,1.97,0.81,0.90,37936
sriov_8192_pinned_4_ovs_fwd_nat_offload_1000,20.57,20.54,1.89,0.96,0.69,137312
sriov_8192_pinned_4_ovs_fwd_ct_500,9.49,4.88,47.31,26.94,20.14,163097117
sriov_8192_pinned_4_ovs_fwd_ct_1000,19.83,9.88,94.04,52.33,41.56,351890357
sriov_8192_pinned_8_linux_fwd_nat_500,9.64,8.82,36.15,27.36,8.55,28881864
sriov_8192_pinned_8_linux_fwd_nat_1000,18.98,18.97,78.01,60.90,16.93,0
sriov_8192_pinned_8_ovs_fwd_nat_500,9.07,9.07,39.05,20.49,18.38,0
sriov_8192_pinned_8_ovs_fwd_nat_1000,18.88,18.87,77.79,42.18,35.45,0
sriov_8192_pinned_8_ovs_fwd_nat_offload_500,10.30,10.29,1.55,0.62,0.69,0
sriov_8192_pinned_8_ovs_fwd_nat_offload_1000,19.59,19.53,2.27,1.03,1.01,0
sriov_8192_pinned_8_ovs_fwd_ct_500,10.12,9.32,47.09,46.04,0.86,28329677
sriov_8192_pinned_8_ovs_fwd_ct_1000,18.50,16.20,85.36,80.89,4.28,81139557
