



sriov_1024_pinned_8_linux_fwd_nat_500,9.15,9.15,40.56,29.59,10.77,0
sriov_1024_pinned_8_linux_fwd_nat_1000,17.99,17.99,73.84,53.68,19.95,0
sriov_1024_pinned_8_ovs_fwd_nat_500,9.09,9.09,39.94,20.92,18.87,0
sriov_1024_pinned_8_ovs_fwd_nat_1000,18.72,18.72,75.87,42.66,33.04,0
sriov_1024_pinned_8_ovs_fwd_nat_offload_500,10.30,10.18,2.43,1.18,1.01,0
sriov_1024_pinned_8_ovs_fwd_nat_offload_1000,20.12,19.68,3.87,2.44,1.17,0
sriov_1024_pinned_8_ovs_fwd_ct_500,9.28,7.93,42.80,40.97,1.64,5686449
sriov_1024_pinned_8_ovs_fwd_ct_1000,18.59,13.52,75.59,67.51,7.89,21320387
sriov_4096_pinned_4_linux_fwd_nat_500,9.10,7.00,41.77,23.72,17.88,8813607
sriov_4096_pinned_4_linux_fwd_nat_1000,17.39,13.07,79.22,41.90,37.10,18173013
sriov_4096_pinned_4_ovs_fwd_nat_500,9.23,9.21,40.56,22.16,18.17,97947
sriov_4096_pinned_4_ovs_fwd_nat_1000,18.22,17.99,78.84,42.41,36.23,966110
sriov_4096_pinned_4_ovs_fwd_nat_offload_500,10.29,10.24,2.12,1.12,0.77,2648
sriov_4096_pinned_4_ovs_fwd_nat_offload_1000,20.15,19.90,2.97,1.80,0.91,54673
sriov_4096_pinned_4_ovs_fwd_ct_500,9.75,4.76,49.91,27.83,21.99,20956532
sriov_4096_pinned_4_ovs_fwd_ct_1000,18.02,8.38,84.97,45.36,39.45,40479408
sriov_4096_pinned_8_linux_fwd_nat_500,9.16,9.16,40.24,28.78,11.31,0
sriov_4096_pinned_8_linux_fwd_nat_1000,17.72,17.72,77.79,53.87,23.78,0
sriov_4096_pinned_8_ovs_fwd_nat_500,8.84,8.84,38.03,21.36,16.50,0
sriov_4096_pinned_8_ovs_fwd_nat_1000,18.10,18.10,74.56,41.61,32.79,0
sriov_4096_pinned_8_ovs_fwd_nat_offload_500,9.91,9.77,2.14,1.10,0.84,0
sriov_4096_pinned_8_ovs_fwd_nat_offload_1000,19.88,19.29,5.57,3.23,2.10,0
sriov_4096_pinned_8_ovs_fwd_ct_500,9.67,8.59,47.40,44.92,2.27,4500551
sriov_4096_pinned_8_ovs_fwd_ct_1000,17.83,14.82,75.35,74.59,0.62,12372951
sriov_8192_pinned_4_linux_fwd_nat_500,8.63,6.61,39.79,23.36,16.24,8509258
sriov_8192_pinned_4_linux_fwd_nat_1000,17.39,13.20,76.01,43.73,32.13,17586884
sriov_8192_pinned_4_ovs_fwd_nat_500,9.15,9.15,40.95,21.81,18.94,0
sriov_8192_pinned_4_ovs_fwd_nat_1000,18.78,18.62,81.53,45.68,35.71,650009
sriov_8192_pinned_4_ovs_fwd_nat_offload_500,10.18,10.12,2.75,1.56,0.90,0
sriov_8192_pinned_4_ovs_fwd_nat_offload_1000,20.34,20.07,2.98,1.78,0.94,54237
sriov_8192_pinned_4_ovs_fwd_ct_500,8.80,4.28,44.08,24.94,18.97,18982841
sriov_8192_pinned_4_ovs_fwd_ct_1000,17.54,8.09,82.71,46.43,36.11,39721342
sriov_8192_pinned_8_linux_fwd_nat_500,8.71,8.71,38.36,29.33,8.83,0
sriov_8192_pinned_8_linux_fwd_nat_1000,17.74,17.74,74.88,58.32,16.36,0
sriov_8192_pinned_8_ovs_fwd_nat_500,8.70,8.70,38.76,20.22,18.39,0
sriov_8192_pinned_8_ovs_fwd_nat_1000,18.38,18.38,81.80,41.39,40.24,0
sriov_8192_pinned_8_ovs_fwd_nat_offload_500,10.33,10.23,2.29,1.25,0.80,0
sriov_8192_pinned_8_ovs_fwd_nat_offload_1000,20.31,19.89,3.68,2.40,1.08,0
sriov_8192_pinned_8_ovs_fwd_ct_500,8.98,7.99,42.88,42.23,0.50,4121000
sriov_8192_pinned_8_ovs_fwd_ct_1000,18.35,15.67,78.86,78.21,0.46,11025668
